	Client ID	Receiving Income (Entry)	Income Source (Entry)	Monthly Amount (Entry)	Income Start Date (Entry)	Income End Date (Entry)	Provider (140-provider)_x	ReceivingIncome (Exit)	Source of Income (Exit)	Monthly Amount (Exit)	Income Start Date (Exit)	Income End Date (Exit)	Provider (140-provider)_y
152	273104	No	Alimony or Other Spousal Support (HUD)		9/1/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/1/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
153	409923	No	Alimony or Other Spousal Support (HUD)		9/1/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/1/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
154	410000	No	Alimony or Other Spousal Support (HUD)		9/2/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/2/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
155	404217	No	Alimony or Other Spousal Support (HUD)		7/7/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		7/7/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
156	299942	No	Child Support (HUD)		1/12/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Child Support (HUD)		1/12/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
157	390302	No	Alimony or Other Spousal Support (HUD)		1/12/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		1/12/2015		Urban Ministries of Durham - Durham County(1562)
158	399969	No	Alimony or Other Spousal Support (HUD)		9/3/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/3/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
159	124817	No	Alimony or Other Spousal Support (HUD)		9/3/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/3/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
160	410222	No	Alimony or Other Spousal Support (HUD)		9/3/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/3/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
161	180383	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
162	210475	No	Alimony or Other Spousal Support (HUD)		12/20/2014		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		12/20/2014		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
163	271159	No	Alimony or Other Spousal Support (HUD)		2/16/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		2/16/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
164	88282	No	Alimony or Other Spousal Support (HUD)		9/1/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/1/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
165	320781	No	Alimony or Other Spousal Support (HUD)		11/18/2013		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		11/18/2013		Urban Ministries of Durham - Durham County(1562)
166	184306	No	Alimony or Other Spousal Support (HUD)		9/8/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/8/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
167	123882	No	Alimony or Other Spousal Support (HUD)		9/8/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/8/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
168	410574	No	Alimony or Other Spousal Support (HUD)		9/1/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/1/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
169	400528	No	Alimony or Other Spousal Support (HUD)		5/22/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/22/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
170	410575	No	Alimony or Other Spousal Support (HUD)		9/9/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/9/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
